Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
tam	b1519	1607346	1608104	lsrACDBFG-tam // tam	G6806	lsrAp // tamp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of lsrRp // LsrR DNA-binding-site 11.5 bases downstream of lsrAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 131.5 bases upstream of lsrRp // 	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor LsrR // ppGpp	RNA polymerase, sigma S (sigma 38) factor // CRP-cAMP DNA-binding transcriptional dual regulator // ppGpp // DNA-binding transcriptional repressor LsrR // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor LsrR // CRP-cAMP DNA-binding transcriptional dual regulator
tynA	b1386	1449076	1451349	tynA	EG13139	tynAp	FeaR DNA-binding-site 26 bases downstream of tynAp // FeaR DNA-binding-site 47 bases downstream of tynAp	DNA-binding transcriptional activator FeaR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional activator FeaR	DNA-binding transcriptional activator FeaR
argK	b2918	3062987	3063982	scpA-argK-scpBC	EG11445		Fnr DNA-binding-site regulating scpA-argK-scpBC	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR
cydD	b0887	929196	930962	cydDC	EG11405	cydDp	NarL-Pasp59 DNA-binding-site 126 bases upstream of cydDp // NarL-Pasp59 DNA-binding-site 80 bases upstream of cydDp // Fnr DNA-binding-site 90.5 bases upstream of cydDp // ArcA-Pasp54 DNA-binding-site 44 bases upstream of cydDp	Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // small regulatory RNA FnrS	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // small regulatory RNA FnrS	Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA
rhsD	b0497	523261	527541	rhsD-ybbC-ylbH-ybbD	EG10849				DNA-binding transcriptional repressor GlaR	
trxB	b0888	931085	932050	trxB	EG11032	trxBp			DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator Nac	
dgcE	b2067	2143266	2146583	yegE	EG12396					
tdcB	b3117	3265039	3266028	tdcBCDEFG // tdcABCDEFG	EG10990	tdcBp // tdcAp	 // TdcR DNA-binding-site 195 bases upstream of tdcAp // TdcA DNA-binding-site 177 bases upstream of tdcAp // IHF DNA-binding-site 103 bases upstream of tdcAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 43.5 bases upstream of tdcAp // Fnr DNA-binding-site 105.5 bases upstream of tdcAp // Fnr DNA-binding-site 148.5 bases upstream of tdcAp	 // DNA-binding transcriptional activator TdcR // DNA-binding transcriptional activator TdcA // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional activator TdcR // DNA-binding transcriptional activator TdcA // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional activator TdcR // DNA-binding transcriptional activator TdcA // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR
yqjF	b3101	3250562	3250954	yqjF	G7615		YhaJ DNA-binding-site regulating yqjF	ppGpp // DNA-binding transcriptional activator YhaJ	ppGpp // DNA-binding transcriptional activator YhaJ	DNA-binding transcriptional activator YhaJ
bglA	b2901	3043662	3045101	bglA	G495					
ubiA	b4040	4253016	4253888	ubiCA	EG11370	ubiCp	Fnr DNA-binding-site 0.5 bases upstream of ubiCp // IHF DNA-binding-site 12 bases upstream of ubiCp // NarL-Pasp59 DNA-binding-site regulating ubiCp // ArcA-Pasp54 DNA-binding-site regulating ubiCp	DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA
yfcE	b2300	2419234	2419788	yfcE	G7192	yfcEp				
kptA	b4331	4560930	4561484	kptA	G7928					
ackA	b2296	2413470	2414672	ackA-pta // ackA	EG10027	 // ackAp	CreB-Pasp54 DNA-binding-site regulating ackA-pta // Nac DNA-binding-site regulating yfbV // ArcA-Pasp54 DNA-binding-site regulating ackAp // Fnr DNA-binding-site regulating ackAp	Phosphorylated DNA-binding transcriptional regulator CreB // DNA-binding transcriptional dual regulator Nac // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma 32 (sigma H) factor // Phosphorylated DNA-binding transcriptional regulator CreB // DNA-binding transcriptional dual regulator Nac // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator FNR // small regulatory RNA SdhX	Phosphorylated DNA-binding transcriptional regulator CreB // DNA-binding transcriptional dual regulator Nac // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator FNR
uspF	b1376	1435185	1435619	uspF	G6699	uspFp				
cydC	b0886	927474	929195	cydDC	EG10012	cydDp	NarL-Pasp59 DNA-binding-site 126 bases upstream of cydDp // NarL-Pasp59 DNA-binding-site 80 bases upstream of cydDp // Fnr DNA-binding-site 90.5 bases upstream of cydDp // ArcA-Pasp54 DNA-binding-site 44 bases upstream of cydDp	Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // small regulatory RNA FnrS	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // small regulatory RNA FnrS // DNA-binding transcriptional dual regulator Lrp	Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA
yahK	b0325	342884	343933	yahK	G6190					
citE	b0616	649582	650490	citCDEFXG // citCDEFXG	G6342	citCp2 // citCp1	Fnr DNA-binding-site 11.5 bases downstream of citCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 11.5 bases downstream of citCp2 // NarL-Pasp59 DNA-binding-site 37 bases downstream of citCp2 // DpiA-Pasp57 DNA-binding-site 146 bases downstream of dpiBp1 // DpiA-Pasp57 DNA-binding-site 104 bases downstream of dpiBp1 // DpiA-Pasp57 DNA-binding-site 77 bases downstream of dpiBp1 // ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA	DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA // P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA
dgcJ	b1786	1872041	1873531	dgcJ	G6972				DNA-binding transcriptional dual regulator Lrp	
pta	b2297	2414747	2416891	pta // ackA-pta	EG20173	ptap // 	 // CreB-Pasp54 DNA-binding-site regulating ackA-pta	 // Phosphorylated DNA-binding transcriptional regulator CreB	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional regulator CreB	Phosphorylated DNA-binding transcriptional regulator CreB
micL	b4717	1958441	1958520	micL // micL	G0-16601	micLp2 // micLp1			RNA polymerase sigma E factor	
lyxK	b3580	3747084	3748580	yiaKLMNO-lyx-sgbHUE // yiaKLMNO-lyx-sgbHUE	EG12284	yiaKp2 // yiaKp	 // PlaR DNA-binding-site 55 bases upstream of plaRp // IHF DNA-binding-site 49.5 bases upstream of yiaKp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 50.5 bases downstream of plaRp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases downstream of yiaKp	 // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor PlaR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase sigma E factor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional repressor PlaR // CRP-cAMP DNA-binding transcriptional dual regulator	DNA-binding transcriptional repressor PlaR // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator
ubiF	b0662	695101	696276	ubiF	G6365					
ydaF	b4527	1419156	1419311	ydaGF	G0-10448					
fpr	b3924	4113726	4114472	fpr	EG10628	fprp	SoxS DNA-binding-site 56.5 bases upstream of fprp // MarA DNA-binding-site 58.5 bases upstream of fprp	DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator MarA	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator MarA	DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator MarA
murF	b0086	94650	96008	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	EG10622	ftsLp2 // ftsLp1 // rsmHp1 // mraZp	LexA DNA-binding-site 3 bases downstream of ftsLp2 //  // MraZ DNA-binding-site 18 bases downstream of mraZp // MraZ DNA-binding-site 8 bases downstream of mraZp // MraZ DNA-binding-site 3 bases upstream of mraZp // PdhR DNA-binding-site 42 bases upstream of mraZp	DNA-binding transcriptional repressor LexA //  // DNA-binding transcriptional repressor MraZ // DNA-binding transcriptional dual regulator PdhR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor LexA // DNA-binding transcriptional repressor MraZ // DNA-binding transcriptional dual regulator PdhR	DNA-binding transcriptional repressor LexA // DNA-binding transcriptional repressor MraZ // DNA-binding transcriptional dual regulator PdhR
yohC	b2135	2225044	2225631	yohC	EG12016			ppGpp	ppGpp	
aroK	b3390	3518543	3519064	aroKB-damX-dam-rpe-gph-trpS // aroKB-damX-dam-rpe-gph-trpS	EG10081	aroKp2 // aroKp1			RNA polymerase, sigma 70 (sigma D) factor // ArgR-L-arginine DNA-binding transcriptional dual regulator	
hflD	b1132	1191990	1192631	hflD-purB	EG11345	hflDp	PurR-hypoxanthine DNA-binding-site 892.5 bases downstream of hflDp	PurR-Hypoxanthine DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // PurR-Hypoxanthine DNA-binding transcriptional repressor	PurR-Hypoxanthine DNA-binding transcriptional repressor
ulaF	b4198	4423700	4424386	ulaABCDEF	G7860	ulaAp	UlaR DNA-binding-site 19.5 bases upstream of ulaAp // UlaR DNA-binding-site 44.5 bases upstream of ulaAp // IHF DNA-binding-site regulating ulaAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of ulaAp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor UlaR // DNA-binding transcriptional dual regulator IHF	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor UlaR // DNA-binding transcriptional dual regulator IHF	DNA-binding transcriptional repressor UlaR // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator
bdm	b1481	1556065	1556280	bdm-sra	G6776	bdmp	Pasp56 RcsB DNA-binding-site 41.5 bases upstream of bdmp	P<SUP>asp56</SUP> RcsB	P<SUP>asp56</SUP> RcsB	P<SUP>asp56</SUP> RcsB
murQ	b2428	2545773	2546669	murQP // murQP // murQP // murQP-yfeW	G7263	murQp // murQp2 // murQp1 // 	MurR DNA-binding-site 12 bases upstream of murQp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of murQp // MurR DNA-binding-site 44 bases upstream of murQp // 	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator MurR // 	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator MurR	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator MurR
pspE	b1308	1369689	1370003	pspBCDE // pspE // pspABCDE	EG10780	pspBp // pspEp // pspAp	 // IHF DNA-binding-site 42.5 bases upstream of pspAp // PspF DNA-binding-site 7 bases downstream of pspFp1 // PspF DNA-binding-site 27 bases downstream of pspFp1	 // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator PspF	RNA polymerase, sigma 54 (sigma N) factor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator PspF	DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator PspF
rpiB	b4090	4313350	4313799	rpiB	EG11827	rpiBp	AlsR DNA-binding-site regulating rpiBp	DNA-binding transcriptional repressor AlsR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional repressor GlaR // DNA-binding transcriptional repressor AlsR	DNA-binding transcriptional repressor AlsR
ubiI	b2906	3051115	3052317	ygfB-pepP-ubiHI	EG11333	ygfBp			RNA polymerase, sigma 70 (sigma D) factor	
hemW	b2955	3097267	3098403	rdgB-yggW // yggSTU-rdgB-hemW	G7531	rdgBp // 			RNA polymerase, sigma 32 (sigma H) factor	
scpC	b2920	3064802	3066280	scpA-argK-scpBC	G7517		Fnr DNA-binding-site regulating scpA-argK-scpBC	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR
nagK	b1119	1178593	1179504	nagK-cobB	G6576					
yeeJ	b1978	2044938	2052014	yeeJ	G7064					
aroD	b1693	1774686	1775444	aroD // ydiNB-aroD	EG10076	aroDp // 			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Nac	
ycdZ	b1036	1100296	1100787	ycdZ	G6542	ycdZp4	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 48 bases upstream of ycdZp4 // CytR DNA-binding-site 22 bases upstream of ycdZp4 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 4 bases downstream of ycdZp4	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor CytR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor CytR	DNA-binding transcriptional repressor CytR // CRP-cAMP DNA-binding transcriptional dual regulator
can	b0126	142008	142670	can // can	EG12319	canp2 // canp			DNA-binding transcriptional dual regulator Lrp // RNA polymerase, sigma 32 (sigma H) factor // RNA polymerase, sigma 70 (sigma D) factor	
dgcT	b1025	1092876	1094234	ycdT	G6532	ycdTp		carbon storage regulator	RNA polymerase, sigma 70 (sigma D) factor // carbon storage regulator // DNA-binding transcriptional dual regulator Nac	
ampG	b0433	452070	453545	yajG-ampG // ampG	EG12183	yajGp // 			RNA polymerase, sigma 70 (sigma D) factor	
rttR	b4425	1287066	1287236	rttR	G0-9609					
lacA	b0342	361249	361860	lacYA // lacZYA // lacZYA // lacZYA // lacZYA	EG10524	lacYp // lacZp4 // lacZp2 // lacZp3 // lacZp1	 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 33.5 bases downstream of lacZp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 39.5 bases upstream of lacZp2 // MarA DNA-binding-site 30 bases upstream of lacZp1 // LacI DNA-binding-site 11 bases downstream of lacZp1 // LacI DNA-binding-site 82 bases upstream of lacZp1 // LacI DNA-binding-site 412 bases downstream of lacZp1 // H-NS DNA-binding-site 24 bases downstream of lacZp1 // H-NS DNA-binding-site 6 bases downstream of lacZp1 // H-NS DNA-binding-site 5 bases upstream of lacZp1 // H-NS DNA-binding-site 31 bases upstream of lacZp1 // H-NS DNA-binding-site 54 bases upstream of lacZp1 // H-NS DNA-binding-site 67 bases upstream of lacZp1	 // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional repressor LacI // DNA-binding transcriptional dual regulator H-NS	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional repressor LacI // DNA-binding transcriptional dual regulator H-NS // CRP-cAMP DNA-binding transcriptional dual regulator	DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional repressor LacI // DNA-binding transcriptional dual regulator H-NS // CRP-cAMP DNA-binding transcriptional dual regulator
menH	b2263	2376834	2377592	menD-yfbB-menBCE // menFD-yfbB-menBCE	EG12438	menDp // 				
G0-10706		4441225	4441330		G0-10706					
ygbL	b2738	2863593	2864231	ygbLM	G7419					
yfeW	b2430	2548102	2549406	murQP-yfeW	G7265					
ybhC	b0772	805998	807281	ybhC	EG12875	ybhCp				
aroA	b0908	958812	960095	serC-aroA	EG10073	serCp1	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 86 bases upstream of serCp1 // Lrp DNA-binding-site 134 bases upstream of serCp1	DNA-binding transcriptional dual regulator Lrp // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Lrp // CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp
yibH	b3597	3770243	3771379	yibIH	EG11764					
yihQ	b3878	4067240	4069276	yihQ	EG11843				DNA-binding transcriptional dual regulator Nac	
chaC	b1218	1272507	1273202	chaC // chaBC	EG12403	chaCp // 	Rob DNA-binding-site regulating chaCp // GlaR DNA-binding-site regulating chaBC	DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional repressor GlaR	RNA polymerase, sigma 54 (sigma N) factor // DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional repressor GlaR
ldcA	b1192	1242166	1243080	ldcA	G6621					
gspB	b3322	3453508	3453927	gspAB // gspAB // gspAB // gspAB	EG11263	gspAp2 // gspAp1 // gspAp3 // gspAp4	H-NS DNA-binding-site regulating gspAp2 // H-NS DNA-binding-site regulating gspAp1 // 	DNA-binding transcriptional dual regulator H-NS // 	DNA-binding transcriptional dual regulator H-NS // RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase sigma E factor	DNA-binding transcriptional dual regulator H-NS
fucI	b2802	2935584	2937359	fucPIKUR	EG10349	fucPp	DNA-binding transcriptional activator FucR DNA-binding-site regulating fucPp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of fucPp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of fucPp	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator // small regulatory RNA Spot 42	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator
ubiG	b2232	2339567	2340289	ubiG	EG11143	ubiGp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating ubiGp	CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator
fic	b3361	3490861	3491463	yhfG-fic-pabA	EG10307	yhfGp			RNA polymerase, sigma S (sigma 38) factor	
nemA	b1650	1726659	1727756	nemRA-gloA // nemRA // nemA	G6890	nemRp // 	RutR DNA-binding-site 20.5 bases upstream of nemRp // NemR DNA-binding-site 20.5 bases upstream of nemRp // 	DNA-binding transcriptional dual regulator RutR // DNA-binding transcriptional repressor NemR // 	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator RutR // DNA-binding transcriptional repressor NemR	DNA-binding transcriptional dual regulator RutR // DNA-binding transcriptional repressor NemR
mpl	b4233	4455785	4457158	mpl // mpl // mpl	EG12440	mplp // mplp2 // mplp1	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of mplp // Cra DNA-binding-site 36.5 bases upstream of mplp // 	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Cra // 	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Cra	DNA-binding transcriptional dual regulator Cra // CRP-cAMP DNA-binding transcriptional dual regulator
sgcQ	b4303	4528111	4528917	sgcXBCQAER	G7915		CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA
aroL	b0388	406405	406929	aroL-yaiA-aroM // aroL-yaiA-aroM	EG10082	aroLp2 // aroLp1	 // TrpR-trp DNA-binding-site 56.5 bases downstream of aroLp1 // TyrR-tyr DNA-binding-site 31 bases downstream of aroLp1 // TyrR-tyr DNA-binding-site 12 bases downstream of aroLp1 // TyrR-tyr DNA-binding-site 45 bases upstream of aroLp1 // TrpR-trp DNA-binding-site 48.5 bases downstream of aroLp1	 // TyrR-Tyrosine DNA-binding transcriptional repressor // TrpR-Tryptophan DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // TyrR-Tyrosine DNA-binding transcriptional repressor // TrpR-Tryptophan DNA-binding transcriptional repressor	TyrR-Tyrosine DNA-binding transcriptional repressor // TrpR-Tryptophan DNA-binding transcriptional repressor
ygfK	b2878	3016060	3019158	ygfK-ssnA	G7497	ygfKp			RNA polymerase, sigma 54 (sigma N) factor	
yjiM	b4335	4564699	4565850	yjiML	G7932					
cheY	b1882	1967048	1967437	tar-tap-cheRBYZ	EG10150	tarp	Fnr DNA-binding-site regulating tarp	DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma 28 (sigma F) factor // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR
ampD	b0110	118733	119284	ampDE	EG10041	ampD	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 6.5 bases downstream of ampD	CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	CRP-cAMP DNA-binding transcriptional dual regulator
yoaE	b1816	1900029	1901585	yoaE	G6997	yoaEp			RNA polymerase, sigma 70 (sigma D) factor	
uxaC	b3092	3243329	3244741	uxaCA // uxaCA	G81	uxaCp1 // uxaCp2	 // ExuR DNA-binding-site 54.5 bases downstream of uxaCp2 // ExuR DNA-binding-site 25.5 bases upstream of uxaCp2 // ExuR DNA-binding-site 1.5 bases upstream of uxaCp2 // ExuR DNA-binding-site 127.5 bases upstream of uxaCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 105.5 bases upstream of uxaCp2 // Fnr DNA-binding-site regulating uxaCp2	 // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional repressor ExuR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional repressor ExuR // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional repressor ExuR // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR
menA	b3930	4119423	4120349	menA-rraA // menA-rraA	EG11880	menAp1 // menAp2			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Lrp	
elfC	b0940	999216	1001816	elfDCG-ycbUVF	G6482				DNA-binding transcriptional repressor GlaR	
citD	b0617	650487	650783	citCDEFXG // citCDEFXG	G6343	citCp2 // citCp1	Fnr DNA-binding-site 11.5 bases downstream of citCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 11.5 bases downstream of citCp2 // NarL-Pasp59 DNA-binding-site 37 bases downstream of citCp2 // DpiA-Pasp57 DNA-binding-site 146 bases downstream of dpiBp1 // DpiA-Pasp57 DNA-binding-site 104 bases downstream of dpiBp1 // DpiA-Pasp57 DNA-binding-site 77 bases downstream of dpiBp1 // ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA	DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA // P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA
anmK	b1640	1718493	1719602	anmK	G6880					
ynfQ	b4724	1638256	1638444		G0-16689					
aroE	b3281	3430020	3430838	yrdD-rimN-aroE-yrdB	EG10077		ZraR-Pasp56 DNA-binding-site regulating yrdD-rimN-aroE-yrdB	Phosphorylated DNA-binding transcriptional activator ZraR	Phosphorylated DNA-binding transcriptional activator ZraR // DNA-binding transcriptional dual regulator Nac	Phosphorylated DNA-binding transcriptional activator ZraR
G0-10703		3367613	3367770		G0-10703					
